flag,pc,label,op,target,line
24h.6,5883,L587D,JBC,L58BE,"5883:  10 26 38  JBC 24h.6,L58BE"
25h.2,5886,L587D,JBC,L58C1,"5886:  10 2A 38  JBC 25h.2,L58C1"
24h.4,5889,L587D,JBC,L58C4,"5889:  10 24 38  JBC 24h.4,L58C4"
24h.7,588C,L587D,JBC,L58CD,"588C:  10 27 3E  JBC 24h.7,L58CD"
24h.3,588F,L587D,JBC,L58D0,"588F:  10 23 3E  JBC 24h.3,L58D0"
23h.5,5892,L587D,JBC,L58D3,"5892:  10 1D 3E  JBC 23h.5,L58D3"
24h.5,5895,L587D,JBC,L58D6,"5895:  10 25 3E  JBC 24h.5,L58D6"
20h.3,58F0,L58E9,CLR,,58F0:  C2 03     CLR 20h.3
24h.3,5905,L58FD,SETB,,5905:  D2 23     SETB 24h.3
24h.3,5921,L5911,SETB,,5921:  D2 23     SETB 24h.3
20h.2,5984,L597C,CLR,,5984:  C2 02     CLR 20h.2
23h.7,5986,L597C,SETB,,5986:  D2 1F     SETB 23h.7
24h.0,59BF,L59B8,SETB,,59BF:  D2 20     SETB 24h.0
25h.0,59CC,L59C4,SETB,,59CC:  D2 28     SETB 25h.0
20h.3,59EF,L59EF,JB,L59FA,"59EF:  20 03 08  JB 20h.3,L59FA"
20h.2,59F5,L59EF,JB,L59FA,"59F5:  20 02 02  JB 20h.2,L59FA"
20h.3,59F8,L59EF,SETB,,59F8:  D2 03     SETB 20h.3
20h.1,59FD,L59FA,SETB,,59FD:  D2 01     SETB 20h.1
