pc,caller_label,mnemonic,target,instruction
4946,L4946,LCALL,L47D3,LCALL L47D3
4951,L4946,CJNE,L4979,"CJNE A,00h,L4979"
4956,L4946,LJMP,L4979,LJMP L4979
495F,L4959,CJNE,L4964,"CJNE A,00h,L4964"
496D,L4964,CJNE,L4979,"CJNE A,00h,L4979"
497C,L4979,LCALL,L0410,LCALL L0410
497F,L4979,LCALL,L045A,LCALL L045A
498C,L4979,JB,L49D1,"JB 28h.1,L49D1"
499C,L4979,JNC,L49EF,JNC L49EF
49A7,L4979,JNB,L49DC,"JNB 26h.1,L49DC"
49C1,L4979,ACALL,L4812,ACALL L4812
49D0,L4979,JB,L49F5,"JB 24h.1,L49F5"
49D5,L4979,AJMP,L4802,AJMP L4802
49FA,L49F6,JZ,L49FF,JZ L49FF
49FD,L49F6,DJNZ,L49F6,"DJNZ R3,L49F6"
4A13,L49FF,DJNZ,L49EA,"DJNZ R2,L49EA"
4A18,L4A16,LCALL,L0379,LCALL L0379
4A1B,L4A16,CJNE,L4A21,"CJNE A,#0FFh,L4A21"
4A1E,L4A16,LJMP,L4B36,LJMP L4B36
4A2A,L4A21,LJMP,L4B07,LJMP L4B07
4A2D,L4A21,LJMP,L4A95,LJMP L4A95
4A30,L4A21,LJMP,L4B4B,LJMP L4B4B
4A33,L4A21,LJMP,L4B39,LJMP L4B39
4A36,L4A21,LJMP,L4B43,LJMP L4B43
4A39,L4A21,LJMP,L4B3E,LJMP L4B3E
4A3C,L4A21,LJMP,L4B56,LJMP L4B56
4A3F,L4A21,LJMP,L4B5B,LJMP L4B5B
4A42,L4A21,LJMP,L4B60,LJMP L4B60
4A45,L4A21,LJMP,L4B65,LJMP L4B65
4A48,L4A21,LJMP,L4B71,LJMP L4B71
4A4B,L4A21,LJMP,L4B7D,LJMP L4B7D
4A4E,L4A21,LJMP,L4B89,LJMP L4B89
4A51,L4A21,LJMP,L4B95,LJMP L4B95
4A54,L4A21,LJMP,L4BBE,LJMP L4BBE
4A57,L4A21,LJMP,L4BA4,LJMP L4BA4
4A5A,L4A21,LJMP,L4BE1,LJMP L4BE1
4A5D,L4A21,LJMP,L4BC7,LJMP L4BC7
4A60,L4A21,LJMP,L4BD4,LJMP L4BD4
4A63,L4A21,LJMP,L4BEE,LJMP L4BEE
4A66,L4A21,LJMP,L4BE6,LJMP L4BE6
4A69,L4A21,LJMP,L4BF2,LJMP L4BF2
4A6C,L4A21,LJMP,L4BAB,LJMP L4BAB
4A6F,L4A21,LJMP,L4CD3,LJMP L4CD3
4A72,L4A21,LJMP,L4CE0,LJMP L4CE0
4A75,L4A21,LJMP,L4A81,LJMP L4A81
4A78,L4A21,LJMP,L4CED,LJMP L4CED
4A7B,L4A21,LJMP,L4CF5,LJMP L4CF5
4A7E,L4A21,LJMP,L4CB2,LJMP L4CB2
4A8F,L4A81,LCALL,L4C9A,LCALL L4C9A
4A92,L4A81,LJMP,L4B07,LJMP L4B07
4A95,L4A95,JNB,L4A9D,"JNB 2Ch.0,L4A9D"
4A9A,L4A95,LJMP,L4B36,LJMP L4B36
4A9D,L4A9D,JB,L4AED,"JB 29h.5,L4AED"
4AA4,L4A9D,JB,L4AED,"JB ACC.1,L4AED"
4AC0,L4ABF,CJNE,L4AC6,"CJNE A,#20h,L4AC6"
4AC4,L4ABF,DJNZ,L4ABF,"DJNZ R2,L4ABF"
4ACA,L4AC6,CJNE,L4AD0,"CJNE R2,#00h,L4AD0"
4ACD,L4AC6,LJMP,L4AED,LJMP L4AED
4AD0,L4AD0,LCALL,L49E6,LCALL L49E6
4AD9,L4AD0,JNZ,L4AE4,JNZ L4AE4
4AE1,L4AD0,CJNE,L4AEA,"CJNE A,#0Fh,L4AEA"
4AEA,L4AEA,LJMP,L4B07,LJMP L4B07
4AED,L4AED,LCALL,L4C26,LCALL L4C26
4AFE,L4AED,JB,L4B04,"JB 29h.5,L4B04"
4B01,L4AED,LCALL,L4C31,LCALL L4C31
4B04,L4B04,LCALL,L4C9A,LCALL L4C9A
4B09,L4B07,LCALL,L0365,LCALL L0365
4B0E,L4B07,LCALL,L0365,LCALL L0365
4B13,L4B07,LCALL,L0365,LCALL L0365
4B18,L4B07,LCALL,L0365,LCALL L0365
4B1D,L4B07,LCALL,L0365,LCALL L0365
4B22,L4B07,LCALL,L0365,LCALL L0365
4B27,L4B07,LCALL,L0365,LCALL L0365
4B2C,L4B07,LCALL,L0365,LCALL L0365
4B31,L4B07,LCALL,L0365,LCALL L0365
4B36,L4B36,LJMP,L585F,LJMP L585F
4B39,L4B39,LCALL,L4C55,LCALL L4C55
4B3C,L4B39,SJMP,L4B34,SJMP L4B34
4B3E,L4B3E,LCALL,L4C67,LCALL L4C67
4B41,L4B3E,SJMP,L4B34,SJMP L4B34
4B43,L4B43,LCALL,L4C55,LCALL L4C55
4B46,L4B43,LCALL,L4C60,LCALL L4C60
4B49,L4B43,SJMP,L4B34,SJMP L4B34
4B4F,L4B4D,LCALL,L0365,LCALL L0365
4B52,L4B4D,DJNZ,L4B4D,"DJNZ R2,L4B4D"
4B54,L4B4D,SJMP,L4B34,SJMP L4B34
4B56,L4B56,LCALL,L4C6E,LCALL L4C6E
4B59,L4B56,SJMP,L4B34,SJMP L4B34
4B5B,L4B5B,LCALL,L4C79,LCALL L4C79
4B5E,L4B5B,SJMP,L4B34,SJMP L4B34
4B60,L4B60,LCALL,L4C84,LCALL L4C84
4B63,L4B60,SJMP,L4B34,SJMP L4B34
4B67,L4B65,LCALL,L0365,LCALL L0365
4B6C,L4B65,LCALL,L0365,LCALL L0365
4B6F,L4B65,SJMP,L4B34,SJMP L4B34
4B73,L4B71,LCALL,L0365,LCALL L0365
4B78,L4B71,LCALL,L0365,LCALL L0365
4B7B,L4B71,SJMP,L4B34,SJMP L4B34
4B7F,L4B7D,LCALL,L0365,LCALL L0365
4B84,L4B7D,LCALL,L0365,LCALL L0365
4B87,L4B7D,SJMP,L4B34,SJMP L4B34
4B8B,L4B89,LCALL,L0365,LCALL L0365
4B90,L4B89,LCALL,L0365,LCALL L0365
4B93,L4B89,SJMP,L4B34,SJMP L4B34
4B95,L4B95,JB,L4B9F,"JB 2Bh.2,L4B9F"
4B9A,L4B95,JNZ,L4B9F,JNZ L4B9F
4B9C,L4B95,LJMP,L4A95,LJMP L4A95
4B9F,L4B9F,LCALL,L4C8F,LCALL L4C8F
4BA2,L4B9F,SJMP,L4B34,SJMP L4B34
4BA6,L4BA4,LCALL,L0365,LCALL L0365
4BA9,L4BA4,SJMP,L4B34,SJMP L4B34
4BAD,L4BAB,LCALL,L0365,LCALL L0365
4BB0,L4BAB,JNB,L4BBB,"JNB 28h.6,L4BBB"
4BB3,L4BAB,JB,L4BBB,"JB 29h.7,L4BBB"
4BB8,L4BAB,LCALL,L0365,LCALL L0365
4BBB,L4BBB,LJMP,L4B34,LJMP L4B34
4BBE,L4BBE,LCALL,L4C79,LCALL L4C79
4BC1,L4BBE,LCALL,L4C6E,LCALL L4C6E
4BC4,L4BBE,LJMP,L4B34,LJMP L4B34
4BC9,L4BC7,LCALL,L0365,LCALL L0365
4BCE,L4BC7,LCALL,L0365,LCALL L0365
4BD1,L4BC7,LJMP,L4B34,LJMP L4B34
4BD6,L4BD4,LCALL,L0365,LCALL L0365
4BDB,L4BD4,LCALL,L0365,LCALL L0365
4BDE,L4BD4,LJMP,L4B34,LJMP L4B34
4BE3,L4BE1,LJMP,L4BE8,LJMP L4BE8
4BE8,L4BE8,LCALL,L0365,LCALL L0365
4BEB,L4BE8,LJMP,L4B34,LJMP L4B34
4BF0,L4BEE,SJMP,L4BE8,SJMP L4BE8
4BF4,L4BF2,JB,L4BFC,"JB 29h.7,L4BFC"
4BF7,L4BF2,JNB,L4BFC,"JNB 28h.6,L4BFC"
4BFC,L4BFC,LCALL,L0365,LCALL L0365
4BFF,L4BFC,JNB,L4C07,"JNB 2Ch.0,L4C07"
4C04,L4BFC,CJNE,L4C13,"CJNE A,#24h,L4C13"
4C07,L4C07,LCALL,L4C26,LCALL L4C26
4C0A,L4C07,LCALL,L4C8F,LCALL L4C8F
4C0D,L4C07,LCALL,L4C9A,LCALL L4C9A
4C10,L4C07,LCALL,L4C6E,LCALL L4C6E
4C15,L4C13,LCALL,L0365,LCALL L0365
4C18,L4C13,JNB,L4C23,"JNB 28h.6,L4C23"
4C1B,L4C13,JB,L4C23,"JB 29h.7,L4C23"
4C20,L4C13,LCALL,L0365,LCALL L0365
4C23,L4C23,LJMP,L4B34,LJMP L4B34
4C26,L4C26,JB,L4C2D,"JB 29h.7,L4C2D"
4C35,L4C31,JB,L4C54,"JB ACC.1,L4C54"
4C3F,L4C31,JZ,L4C54,JZ L4C54
4C46,L4C31,LCALL,L03D3,LCALL L03D3
4C52,L4C4B,DJNZ,L4C4B,"DJNZ R3,L4C4B"
4C57,L4C55,LCALL,L0365,LCALL L0365
4C5C,L4C5A,LCALL,L0365,LCALL L0365
4C62,L4C60,LCALL,L0365,LCALL L0365
4C65,L4C60,SJMP,L4C5A,SJMP L4C5A
4C69,L4C67,LCALL,L0365,LCALL L0365
4C6C,L4C67,SJMP,L4C5A,SJMP L4C5A
4C70,L4C6E,LCALL,L0365,LCALL L0365
4C75,L4C6E,LCALL,L0365,LCALL L0365
4C7B,L4C79,LCALL,L0365,LCALL L0365
4C80,L4C79,LCALL,L0365,LCALL L0365
4C86,L4C84,LCALL,L0365,LCALL L0365
4C8B,L4C84,LCALL,L0365,LCALL L0365
4C91,L4C8F,LCALL,L0365,LCALL L0365
4C96,L4C8F,LCALL,L0365,LCALL L0365
4CA3,L4C9A,JNZ,L4CAE,JNZ L4CAE
4CAB,L4C9A,CJNE,L4CB1,"CJNE A,#0Fh,L4CB1"
4CB2,L4CB2,JNB,L4CBC,"JNB 2Ah.3,L4CBC"
4CB7,L4CB2,LCALL,L0365,LCALL L0365
4CBC,L4CBC,JNB,L4CC6,"JNB 2Ah.6,L4CC6"
4CC1,L4CBC,LCALL,L0365,LCALL L0365
4CC6,L4CC6,JNB,L4CD0,"JNB 27h.7,L4CD0"
4CCB,L4CC6,LCALL,L0365,LCALL L0365
4CD0,L4CD0,LJMP,L585F,LJMP L585F
4CD5,L4CD3,JNB,L4CDA,"JNB 2Ah.3,L4CDA"
4CDA,L4CDA,LCALL,L0365,LCALL L0365
4CDD,L4CDA,LJMP,L4B34,LJMP L4B34
4CE2,L4CE0,JNB,L4CE7,"JNB 2Ah.6,L4CE7"
4CE7,L4CE7,LCALL,L0365,LCALL L0365
4CEA,L4CE7,LJMP,L4B34,LJMP L4B34
4CEF,L4CED,LCALL,L0365,LCALL L0365
4CF2,L4CED,LJMP,L4B34,LJMP L4B34
4CF7,L4CF5,LCALL,L0365,LCALL L0365
4CFA,L4CF5,LJMP,L4B34,LJMP L4B34
4CFD,L4CFD,JBC,L4D0D,"JBC 2Dh.1,L4D0D"
4D02,L4CFD,LCALL,L0379,LCALL L0379
4D05,L4CFD,CJNE,L4D13,"CJNE A,#0FFh,L4D13"
4D0A,L4CFD,LJMP,L4D24,LJMP L4D24
4D10,L4D0D,LJMP,L4D1D,LJMP L4D1D
4D24,L4D24,LJMP,L585F,LJMP L585F
4D27,L4D27,LJMP,L4FD6,LJMP L4FD6
4D2A,L4D2A,JNB,L4D34,"JNB 27h.5,L4D34"
4D2D,L4D2A,DJNZ,L4D34,"DJNZ 5Fh,L4D34"
4D34,L4D34,JNB,L4D41,"JNB 26h.0,L4D41"
4D37,L4D34,DJNZ,L4D41,"DJNZ 51h,L4D41"
4D41,L4D41,JNB,L4D49,"JNB 25h.3,L4D49"
4D44,L4D41,DJNZ,L4D49,"DJNZ 4Bh,L4D49"
4D50,L4D49,JNZ,L4D54,JNZ L4D54
4D55,L4D54,CJNE,L4D27,"CJNE A,#0Ah,L4D27"
4D60,L4D54,JNB,L4D6A,"JNB 25h.5,L4D6A"
4D63,L4D54,DJNZ,L4D6A,"DJNZ 4Dh,L4D6A"
4D6A,L4D6A,JNB,L4D7D,"JNB 2Eh.5,L4D7D"
4D75,L4D6A,JNZ,L4D41,JNZ L4D41
4D8C,L4D7D,CJNE,L4D92,"CJNE A,#0FFh,L4D92"
4D8F,L4D7D,LJMP,L4DC8,LJMP L4DC8
4D93,L4D92,JNZ,L4DC1,JNZ L4DC1
4D99,L4D92,CJNE,L4DA7,"CJNE A,#01h,L4DA7"
4D9C,L4D92,LCALL,L5977,LCALL L5977
4DA4,L4D92,LJMP,L4DC1,LJMP L4DC1
4DB5,L4DA7,LCALL,L5964,LCALL L5964
4DBC,L4DA7,CJNE,L4DC1,"CJNE R2,#19h,L4DC1"
4DC8,L4DC8,JNB,L4DD2,"JNB 25h.4,L4DD2"
4DCB,L4DC8,DJNZ,L4DD2,"DJNZ 4Ch,L4DD2"
4DD2,L4DD2,JNB,L4DE5,"JNB 27h.6,L4DE5"
4DDB,L4DD2,JNZ,L4DE5,JNZ L4DE5
4DDD,L4DD2,LCALL,L066D,LCALL L066D
4DE0,L4DD2,LCALL,L0675,LCALL L0675
4DE5,L4DE5,JNB,L4E11,"JNB 25h.6,L4E11"
4DE8,L4DE5,DJNZ,L4E11,"DJNZ 4Eh,L4E11"
4DEB,L4DE5,JB,L4E01,"JB 20h.0,L4E01"
4DF3,L4DE5,JNB,L4E11,"JNB 2Ah.7,L4E11"
4DFB,L4DE5,LCALL,L03CC,LCALL L03CC
4DFE,L4DE5,LJMP,L4E11,LJMP L4E11
4E06,L4E01,JNB,L4E11,"JNB 2Ah.7,L4E11"
4E0E,L4E01,LCALL,L03CC,LCALL L03CC
4E11,L4E11,JNB,L4E24,"JNB 25h.7,L4E24"
4E14,L4E11,DJNZ,L4E24,"DJNZ 50h,L4E24"
4E1C,L4E11,JB,L4E24,"JB 2Ch.7,L4E24"
4E24,L4E24,JNB,L4E30,"JNB 27h.0,L4E30"
4E27,L4E24,DJNZ,L4E30,"DJNZ 59h,L4E30"
4E30,L4E30,JNB,L4E3E,"JNB 27h.2,L4E3E"
4E33,L4E30,DJNZ,L4E3E,"DJNZ 5Bh,L4E3E"
4E3E,L4E3E,JNB,L4E76,"JNB 26h.4,L4E76"
4E41,L4E3E,DJNZ,L4E76,"DJNZ 55h,L4E76"
4E48,L4E3E,CJNE,L4E5E,"CJNE A,#40h,L4E5E"
4E4B,L4E3E,JB,L4E54,"JB 23h.0,L4E54"
4E4E,L4E3E,LCALL,L371A,LCALL L371A
4E51,L4E3E,LJMP,L4E57,LJMP L4E57
4E54,L4E54,LCALL,L3713,LCALL L3713
4E5B,L4E57,LJMP,L4E71,LJMP L4E71
4E5E,L4E5E,CJNE,L4E71,"CJNE A,#50h,L4E71"
4E61,L4E5E,JB,L4E6A,"JB 23h.0,L4E6A"
4E64,L4E5E,LCALL,L371A,LCALL L371A
4E67,L4E5E,LJMP,L4E6D,LJMP L4E6D
4E6A,L4E6A,LCALL,L3713,LCALL L3713
4E76,L4E76,JNB,L4E83,"JNB 26h.5,L4E83"
4E79,L4E76,DJNZ,L4E83,"DJNZ 56h,L4E83"
4E83,L4E83,JNB,L4EC6,"JNB 26h.6,L4EC6"
4E86,L4E83,DJNZ,L4EC6,"DJNZ 57h,L4EC6"
4E8F,L4E83,CJNE,L4E99,"CJNE A,#04h,L4E99"
4E96,L4E83,LJMP,L4EB9,LJMP L4EB9
4E99,L4E99,CJNE,L4EA3,"CJNE A,#01h,L4EA3"
4EA0,L4E99,LJMP,L4EB9,LJMP L4EB9
4EA3,L4EA3,CJNE,L4EB5,"CJNE A,#02h,L4EB5"
4EAA,L4EA3,LJMP,L4EB9,LJMP L4EB9
4EAF,L4EAD,LJMP,L4EC0,LJMP L4EC0
4EB2,L4EB2,LJMP,L4FD6,LJMP L4FD6
4EB9,L4EB9,JBC,L4EAD,"JBC 29h.4,L4EAD"
4EC0,L4EC0,LCALL,L034F,LCALL L034F
4ECD,L4EC6,JNZ,L4ED1,JNZ L4ED1
4ED2,L4ED1,CJNE,L4EB2,"CJNE A,#0Ah,L4EB2"
4ED5,L4ED1,JNB,L4EE1,"JNB 26h.1,L4EE1"
4ED8,L4ED1,DJNZ,L4EE1,"DJNZ 52h,L4EE1"
4EE1,L4EE1,JNB,L4F00,"JNB 26h.3,L4F00"
4EE4,L4EE1,DJNZ,L4F00,"DJNZ 54h,L4F00"
4EE7,L4EE1,JB,L4EEC,"JB 29h.3,L4EEC"
4EF4,L4EEC,CJNE,L4EFA,"CJNE A,#03h,L4EFA"
4EF7,L4EEC,LJMP,L4EFD,LJMP L4EFD
4EFA,L4EFA,JNB,L4F00,"JNB 2Ah.3,L4F00"
4EFD,L4EFD,LCALL,L5931,LCALL L5931
4F00,L4F00,JNB,L4F12,"JNB 27h.1,L4F12"
4F03,L4F00,DJNZ,L4F12,"DJNZ 5Ah,L4F12"
4F0B,L4F00,LCALL,L03CC,LCALL L03CC
4F12,L4F12,JNB,L4F1F,"JNB 27h.3,L4F1F"
4F15,L4F12,DJNZ,L4F1F,"DJNZ 5Ch,L4F1F"
4F1F,L4F1F,JNB,L4F2C,"JNB 26h.7,L4F2C"
4F22,L4F1F,DJNZ,L4F2C,"DJNZ 58h,L4F2C"
4F33,L4F2C,JNZ,L4F3E,JNZ L4F3E
4F37,L4F2C,JB,L4F3C,"JB 2Ch.6,L4F3C"
4F3F,L4F3E,CJNE,L4F45,"CJNE A,#0Ah,L4F45"
4F42,L4F3E,LJMP,L4F48,LJMP L4F48
4F45,L4F45,LJMP,L4FD6,LJMP L4FD6
4F4E,L4F48,CJNE,L4F54,"CJNE A,#0Fh,L4F54"
4F51,L4F48,LJMP,L4F5E,LJMP L4F5E
4F55,L4F54,JNZ,L4F5D,JNZ L4F5D
4F6E,L4F5E,JNZ,L4F72,JNZ L4F72
4F7A,L4F72,CJNE,L4FD6,"CJNE A,#1Eh,L4FD6"
4F7D,L4F72,JNB,L4FC0,"JNB 26h.2,L4FC0"
4F80,L4F72,DJNZ,L4FA1,"DJNZ 53h,L4FA1"
4F89,L4F72,JBC,L4FC0,"JBC 2Dh.4,L4FC0"
4F94,L4F72,JNB,L4F9E,"JNB ACC.2,L4F9E"
4F9B,L4F72,LCALL,L4648,LCALL L4648
4F9E,L4F9E,LJMP,L4FC0,LJMP L4FC0
4FA5,L4FA1,JB,L4FC0,"JB ACC.2,L4FC0"
4FAA,L4FA1,CJNE,L4FC0,"CJNE A,53h,L4FC0"
4FB8,L4FA1,LCALL,L5964,LCALL L5964
4FC0,L4FC0,JNB,L4FD6,"JNB 27h.4,L4FD6"
4FC3,L4FC0,DJNZ,L4FD6,"DJNZ 5Dh,L4FD6"
4FC9,L4FC0,DJNZ,L4FD6,"DJNZ 5Eh,L4FD6"
4FCE,L4FC0,LCALL,L034F,LCALL L034F
4FD3,L4FC0,LCALL,L034F,LCALL L034F
4FD6,L4FD6,LJMP,L585F,LJMP L585F
4FE0,L4FD9,LCALL,L03CC,LCALL L03CC
4FF4,L4FD9,LCALL,L03CC,LCALL L03CC
4FFD,L4FD9,JNB,L5005,"JNB 2Ch.7,L5005"
5002,L4FD9,LJMP,L5007,LJMP L5007
5008,L5007,LCALL,L5198,LCALL L5198
5014,L5007,LCALL,L5198,LCALL L5198
501A,L5007,JNC,L501D,JNC L501D
5033,L501D,JNC,L5036,JNC L5036
503A,L5036,JB,L5056,"JB ACC.6,L5056"
503D,L5036,JB,L5059,"JB ACC.5,L5059"
5053,L5036,LJMP,L50B3,LJMP L50B3
5056,L5056,LJMP,L505C,LJMP L505C
5059,L5059,LJMP,L5089,LJMP L5089
5086,L505C,LJMP,L50B3,LJMP L50B3
50B6,L50B3,JB,L50C0,"JB 2Ch.7,L50C0"
50BD,L50B3,LJMP,L50C6,LJMP L50C6
50C8,L50C6,JB,L50CF,"JB ACC.0,L50CF"
50CD,L50C6,SJMP,L50D1,SJMP L50D1
50D3,L50D1,JB,L50DA,"JB ACC.0,L50DA"
50D8,L50D1,SJMP,L50DC,SJMP L50DC
50DF,L50DC,JB,L50E6,"JB ACC.0,L50E6"
50E4,L50DC,SJMP,L50E8,SJMP L50E8
50EA,L50E8,JB,L50F1,"JB ACC.0,L50F1"
50EF,L50E8,SJMP,L50F3,SJMP L50F3
50F5,L50F3,JB,L50FC,"JB ACC.0,L50FC"
50FA,L50F3,SJMP,L50FE,SJMP L50FE
5100,L50FE,JB,L5107,"JB ACC.0,L5107"
5105,L50FE,SJMP,L5109,SJMP L5109
510B,L5109,JB,L5112,"JB ACC.0,L5112"
5110,L5109,SJMP,L5114,SJMP L5114
5116,L5114,JB,L511D,"JB ACC.0,L511D"
511B,L5114,SJMP,L511F,SJMP L511F
5121,L511F,JB,L5128,"JB ACC.0,L5128"
5126,L511F,SJMP,L512A,SJMP L512A
512C,L512A,JB,L5133,"JB ACC.0,L5133"
5131,L512A,SJMP,L5135,SJMP L5135
5139,L5135,JB,L5140,"JB ACC.0,L5140"
513E,L5135,SJMP,L5142,SJMP L5142
5144,L5142,JB,L514B,"JB ACC.0,L514B"
5149,L5142,SJMP,L514D,SJMP L514D
514F,L514D,JB,L5156,"JB ACC.0,L5156"
5154,L514D,SJMP,L5158,SJMP L5158
515A,L5158,JB,L5161,"JB ACC.0,L5161"
515F,L5158,SJMP,L5163,SJMP L5163
5165,L5163,JB,L516C,"JB ACC.0,L516C"
516A,L5163,SJMP,L516E,SJMP L516E
5170,L516E,JB,L5177,"JB ACC.0,L5177"
5175,L516E,SJMP,L5179,SJMP L5179
517B,L5179,JB,L5182,"JB ACC.0,L5182"
5180,L5179,SJMP,L5184,SJMP L5184
518A,L5184,LCALL,L03CC,LCALL L03CC
5192,L5184,LCALL,L03CC,LCALL L03CC
5195,L5184,LJMP,L585F,LJMP L585F
51AD,L51AB,LCALL,L0379,LCALL L0379
51B0,L51AB,CJNE,L51B6,"CJNE A,#0FFh,L51B6"
51B3,L51AB,LJMP,L5289,LJMP L5289
51BF,L51B6,LJMP,L520A,LJMP L520A
51C2,L51B6,LJMP,L5213,LJMP L5213
51C5,L51B6,LJMP,L5249,LJMP L5249
51C8,L51B6,LJMP,L522D,LJMP L522D
51CB,L51B6,LJMP,L525D,LJMP L525D
51CE,L51B6,LJMP,L523D,LJMP L523D
51D1,L51B6,LJMP,L5243,LJMP L5243
51D4,L51B6,LJMP,L5235,LJMP L5235
51D7,L51B6,LJMP,L5289,LJMP L5289
51DA,L51B6,LJMP,L5289,LJMP L5289
51DD,L51B6,LJMP,L5289,LJMP L5289
51E0,L51B6,LJMP,L5289,LJMP L5289
51E3,L51B6,LJMP,L5289,LJMP L5289
51E6,L51B6,LJMP,L528C,LJMP L528C
51E9,L51B6,LJMP,L5293,LJMP L5293
51EC,L51B6,LJMP,L5255,LJMP L5255
51EF,L51B6,LJMP,L5265,LJMP L5265
51F2,L51B6,LJMP,L526D,LJMP L526D
51F5,L51B6,LJMP,L527A,LJMP L527A
51F8,L51B6,LJMP,L5289,LJMP L5289
51FB,L51B6,LJMP,L5289,LJMP L5289
51FE,L51B6,LJMP,L52A2,LJMP L52A2
5201,L51B6,LJMP,L529A,LJMP L529A
5204,L51B6,LJMP,L52AA,LJMP L52AA
5207,L51B6,LJMP,L52AF,LJMP L52AF
520A,L520A,LCALL,L52F2,LCALL L52F2
520D,L520A,LCALL,L531E,LCALL L531E
5210,L520A,LJMP,L5287,LJMP L5287
5213,L5213,JB,L5221,"JB 2Ch.0,L5221"
521B,L5213,LCALL,L534C,LCALL L534C
521E,L5213,LCALL,L5339,LCALL L5339
5221,L5221,LCALL,L5300,LCALL L5300
5224,L5221,LCALL,L52B6,LCALL L52B6
5227,L5221,LCALL,L52E2,LCALL L52E2
522A,L5221,LJMP,L5287,LJMP L5287
522F,L522D,LCALL,L534C,LCALL L534C
5232,L522D,LJMP,L5287,LJMP L5287
5237,L5235,LCALL,L534C,LCALL L534C
523A,L5235,LJMP,L5287,LJMP L5287
523D,L523D,LCALL,L52F2,LCALL L52F2
5240,L523D,LJMP,L5287,LJMP L5287
5243,L5243,LCALL,L531E,LCALL L531E
5246,L5243,LJMP,L5287,LJMP L5287
524D,L524B,LCALL,L534C,LCALL L534C
5250,L524B,DJNZ,L524B,"DJNZ R2,L524B"
5252,L524B,LJMP,L5287,LJMP L5287
5257,L5255,LCALL,L534C,LCALL L534C
525A,L5255,LJMP,L527A,LJMP L527A
525F,L525D,LCALL,L534C,LCALL L534C
5262,L525D,LJMP,L5287,LJMP L5287
5267,L5265,LCALL,L534C,LCALL L534C
526A,L5265,LJMP,L5287,LJMP L5287
526F,L526D,LCALL,L534C,LCALL L534C
5274,L526D,LCALL,L534C,LCALL L534C
5277,L526D,LJMP,L5287,LJMP L5287
527C,L527A,LCALL,L534C,LCALL L534C
5281,L527A,LCALL,L534C,LCALL L534C
5284,L527A,LJMP,L5287,LJMP L5287
5289,L5289,LJMP,L585F,LJMP L585F
528E,L528C,LCALL,L534C,LCALL L534C
5291,L528C,SJMP,L5287,SJMP L5287
5295,L5293,LCALL,L534C,LCALL L534C
5298,L5293,SJMP,L5287,SJMP L5287
529A,L529A,LCALL,L52B6,LCALL L52B6
529D,L529A,LCALL,L5300,LCALL L5300
52A0,L529A,SJMP,L5287,SJMP L5287
52A2,L52A2,LCALL,L52E2,LCALL L52E2
52A5,L52A2,LCALL,L5300,LCALL L5300
52A8,L52A2,SJMP,L525D,SJMP L525D
52AA,L52AA,LCALL,L5339,LCALL L5339
52AD,L52AA,SJMP,L5287,SJMP L5287
52B1,L52AF,LCALL,L0365,LCALL L0365
52B4,L52AF,SJMP,L5287,SJMP L5287
52BF,L52B6,CJNE,L52CE,"CJNE A,#00h,L52CE"
52C8,L52B6,CJNE,L52CE,"CJNE A,#00h,L52CE"
52D1,L52CE,JNB,L52D7,"JNB 2Ah.6,L52D7"
52D9,L52D7,LCALL,L534C,LCALL L534C
52DE,L52D7,LCALL,L534C,LCALL L534C
52E4,L52E2,JB,L52E9,"JB 29h.7,L52E9"
52EE,L52E9,LCALL,L534C,LCALL L534C
52F4,L52F2,CJNE,L52F9,"CJNE A,#24h,L52F9"
52FC,L52F9,LCALL,L534C,LCALL L534C
5305,L5300,JB,L5310,"JB 29h.7,L5310"
5308,L5300,JNB,L5310,"JNB 28h.6,L5310"
5310,L5310,LCALL,L534C,LCALL L534C
5315,L5310,LCALL,L534C,LCALL L534C
531A,L5310,LCALL,L534C,LCALL L534C
5320,L531E,CJNE,L5325,"CJNE A,#24h,L5325"
5328,L5325,LCALL,L534C,LCALL L534C
532D,L5325,CJNE,L5332,"CJNE A,#24h,L5332"
5335,L5332,LCALL,L534C,LCALL L534C
5339,L5339,JB,L534B,"JB 2Ch.0,L534B"
533E,L5339,JNB,L5343,"JNB 2Ah.3,L5343"
5348,L5343,LCALL,L534C,LCALL L534C
534C,L534C,LJMP,L0365,LJMP L0365
5352,L534F,LCALL,L03BF,LCALL L03BF
5356,L534F,JNB,L5362,"JNB ACC.3,L5362"
5359,L534F,JB,L536E,"JB 28h.6,L536E"
535C,L534F,JNB,L536E,"JNB 29h.0,L536E"
535F,L534F,LJMP,L5365,LJMP L5365
5362,L5362,JNB,L536E,"JNB 28h.6,L536E"
5367,L5365,JB,L536E,"JB 2Ch.7,L536E"
536F,L536E,JNB,L5397,"JNB 29h.6,L5397"
5372,L536E,JNB,L5386,"JNB ACC.2,L5386"
5375,L536E,JNB,L5397,"JNB 28h.7,L5397"
537E,L536E,LCALL,L54AA,LCALL L54AA
5383,L536E,LJMP,L5397,LJMP L5397
5386,L5386,JB,L5397,"JB 28h.7,L5397"
538F,L5386,JNB,L5397,"JNB 2Ah.7,L5397"
5392,L5386,LCALL,L5977,LCALL L5977
5398,L5397,JNB,L53A1,"JNB ACC.1,L53A1"
539B,L5397,JNB,L53AD,"JNB 28h.5,L53AD"
