pc,caller_label,mnemonic,target,instruction
3B5C,L3B56,SJMP,L3B04,SJMP L3B04
3B78,L3B5E,LCALL,L0355,LCALL L0355
3B82,L3B7C,SJMP,L3B04,SJMP L3B04
3BA9,L3BA2,LCALL,L03CC,LCALL L03CC
3BB6,L3BB5,CJNE,L3BBC,"CJNE A,#0Bh,L3BBC"
3BBD,L3BBC,DJNZ,L3BB5,"DJNZ R3,L3BB5"
3BC3,L3BC3,LCALL,L386F,LCALL L386F
3BC8,L3BC3,CJNE,L3BCB,"CJNE A,#0Ah,L3BCB"
3BCB,L3BCB,JNC,L3BFE,JNC L3BFE
3BCD,L3BCB,DJNZ,L3BD2,"DJNZ R0,L3BD2"
3BCF,L3BCB,LJMP,L3BEC,LJMP L3BEC
3BDB,L3BD2,DJNZ,L3BE0,"DJNZ R0,L3BE0"
3BDD,L3BD2,LJMP,L3BEC,LJMP L3BEC
3BE6,L3BE0,JB,L3BFE,"JB PSW.2,L3BFE"
3BEA,L3BE0,JC,L3BFE,JC L3BFE
3BF8,L3BF7,CJNE,L3C00,"CJNE A,#0FFh,L3C00"
3BFC,L3BF7,DJNZ,L3BF7,"DJNZ R0,L3BF7"
3C0C,L3C07,DJNZ,L3C07,"DJNZ R0,L3C07"
3C1D,L3C0F,LCALL,L0410,LCALL L0410
3C20,L3C0F,LCALL,L045A,LCALL L045A
3C28,L3C28,LCALL,L0478,LCALL L0478
3C2B,L3C28,LCALL,L3916,LCALL L3916
3C33,L3C28,JNB,L3C39,"JNB B.3,L3C39"
3C36,L3C28,LCALL,L3C5A,LCALL L3C5A
3C3B,L3C39,JNB,L3C41,"JNB B.4,L3C41"
3C3E,L3C39,LCALL,L3C5A,LCALL L3C5A
3C43,L3C41,JNB,L3C49,"JNB B.5,L3C49"
3C46,L3C41,LCALL,L3C5A,LCALL L3C5A
3C4B,L3C49,JNB,L3C51,"JNB B.6,L3C51"
3C4E,L3C49,LCALL,L3C5A,LCALL L3C5A
3C53,L3C51,JNB,L3C59,"JNB B.7,L3C59"
3C56,L3C51,LCALL,L3C5A,LCALL L3C5A
3C67,L3C5E,LJMP,L3C85,LJMP L3C85
3C6A,L3C5E,LJMP,L3DBB,LJMP L3DBB
3C6D,L3C5E,LJMP,L3DE5,LJMP L3DE5
3C70,L3C5E,LJMP,L3E4B,LJMP L3E4B
3C73,L3C5E,LJMP,L3EA8,LJMP L3EA8
3C76,L3C5E,LJMP,L3F15,LJMP L3F15
3C79,L3C5E,LJMP,L3F44,LJMP L3F44
3C7C,L3C5E,LJMP,L3F89,LJMP L3F89
3C7F,L3C5E,LJMP,L3FF1,LJMP L3FF1
3C82,L3C5E,LJMP,L4004,LJMP L4004
3C87,L3C85,CJNE,L3C8D,"CJNE A,#0Dh,L3C8D"
3C8A,L3C85,LJMP,L585F,LJMP L585F
3C8D,L3C8D,CJNE,L3C93,"CJNE A,#10h,L3C93"
3C90,L3C8D,LJMP,L3C96,LJMP L3C96
3C93,L3C93,CJNE,L3C9F,"CJNE A,#0Eh,L3C9F"
3C96,L3C96,JB,L3C9F,"JB 26h.1,L3C9F"
3C99,L3C96,JB,L3C9F,"JB 2Ch.7,L3C9F"
3C9C,L3C96,LJMP,L585F,LJMP L585F
3CA1,L3C9F,CJNE,L3CB8,"CJNE A,#20h,L3CB8"
3CA6,L3C9F,JNZ,L3CB5,JNZ L3CB5
3CAA,L3C9F,LCALL,L4060,LCALL L4060
3CB5,L3CB5,LJMP,L585F,LJMP L585F
3CB8,L3CB8,CJNE,L3CBE,"CJNE A,#22h,L3CBE"
3CBB,L3CB8,LJMP,L3CC1,LJMP L3CC1
3CBE,L3CBE,CJNE,L3CD4,"CJNE A,#21h,L3CD4"
3CC1,L3CC1,LCALL,L409B,LCALL L409B
3CC4,L3CC1,JZ,L3CD1,JZ L3CD1
3CC9,L3CC1,LCALL,L3A6B,LCALL L3A6B
3CD1,L3CD1,LJMP,L585F,LJMP L585F
3CD4,L3CD4,CJNE,L3CF8,"CJNE A,#23h,L3CF8"
3CD9,L3CD4,CJNE,L3CDF,"CJNE A,#09h,L3CDF"
3CDC,L3CD4,LJMP,L585F,LJMP L585F
3CE3,L3CDF,JB,L3CEC,"JB ACC.0,L3CEC"
3CE9,L3CDF,LJMP,L3EB0,LJMP L3EB0
3CEC,L3CEC,LCALL,L38C1,LCALL L38C1
3CEF,L3CEC,JZ,L3CD1,JZ L3CD1
3CF5,L3CEC,LJMP,L585F,LJMP L585F
3CF8,L3CF8,CJNE,L3D02,"CJNE A,#24h,L3D02"
3CFF,L3CF8,LJMP,L3EE5,LJMP L3EE5
3D02,L3D02,CJNE,L3D1D,"CJNE A,#25h,L3D1D"
3D05,L3D05,LCALL,L3955,LCALL L3955
3D08,L3D05,JZ,L3D1A,JZ L3D1A
3D0A,L3D05,CJNE,L3D12,"CJNE A,#80h,L3D12"
3D0F,L3D05,LCALL,L3B91,LCALL L3B91
3D12,L3D12,LCALL,L3A42,LCALL L3A42
3D1A,L3D1A,LJMP,L585F,LJMP L585F
3D1D,L3D1D,CJNE,L3D5D,"CJNE A,#28h,L3D5D"
3D20,L3D1D,LCALL,L38EC,LCALL L38EC
3D23,L3D1D,JZ,L3D54,JZ L3D54
3D25,L3D1D,JB,L3D31,"JB ACC.1,L3D31"
3D28,L3D1D,JB,L3D57,"JB ACC.2,L3D57"
3D2B,L3D1D,LCALL,L40BC,LCALL L40BC
3D2E,L3D1D,LJMP,L585F,LJMP L585F
3D40,L3D31,LCALL,L03D6,LCALL L03D6
3D47,L3D31,LCALL,L0505,LCALL L0505
3D4C,L3D31,LCALL,L0355,LCALL L0355
3D54,L3D54,LJMP,L585F,LJMP L585F
3D57,L3D57,LCALL,L3BA2,LCALL L3BA2
3D5A,L3D57,LJMP,L585F,LJMP L585F
3D5D,L3D5D,CJNE,L3D6B,"CJNE A,#7Fh,L3D6B"
3D68,L3D5D,LJMP,L585F,LJMP L585F
3D6B,L3D6B,CJNE,L3D71,"CJNE A,#3Dh,L3D71"
3D6E,L3D6B,LJMP,L3EE5,LJMP L3EE5
3D71,L3D71,CJNE,L3D7A,"CJNE A,#26h,L3D7A"
3D74,L3D71,LCALL,L3787,LCALL L3787
3D77,L3D71,LJMP,L585F,LJMP L585F
3D7A,L3D7A,CJNE,L3D83,"CJNE A,#27h,L3D83"
3D7D,L3D7A,LCALL,L37A8,LCALL L37A8
